nearc2,nearc4,educ,age,fatheduc,motheduc,weight,momdad14,sinmom14,step14,south66,black,smsa,south,smsa66,wage,enroll,kww,iq,married,libcrd14,exper,region
1,1,12,27,NA,8,380166,0,1,0,0,0,1,0,1,705,0,34,101,1,1,9,2
1,1,12,27,10,12,380166,1,0,0,0,0,1,0,1,425,0,32,91,1,1,9,2
1,1,12,24,NA,4,369567,0,1,0,0,0,1,0,1,571,0,35,NA,1,1,6,2
1,1,16,30,12,12,496635,1,0,0,0,0,1,0,1,538,0,52,115,6,1,8,2
1,1,16,32,12,12,408301,1,0,0,0,0,1,0,1,740,0,49,113,1,1,10,2
1,1,13,32,10,12,367470,1,0,0,0,0,1,0,1,673,1,43,123,1,1,13,2
1,1,12,34,10,10,89826,1,0,0,0,0,1,0,1,769,0,36,95,1,1,16,2
1,1,12,24,10,10,90339,0,0,0,0,0,1,0,1,592,0,26,102,1,1,6,2
1,1,9,24,12,11,102031,1,0,0,0,1,1,0,1,213,0,15,NA,6,1,9,2
1,1,16,34,12,12,367470,1,0,0,0,0,1,0,1,1563,0,50,145,1,1,12,2
1,1,16,28,11,11,380166,1,0,0,0,0,1,0,1,774,0,35,114,1,1,6,2
1,1,12,26,8,9,380166,1,0,0,0,0,1,1,1,600,0,35,113,1,0,8,2
1,1,18,24,16,16,369567,1,0,0,0,0,1,0,1,693,0,24,NA,6,1,0,2
1,1,13,31,8,12,496635,1,0,0,0,0,1,0,1,570,0,40,93,5,1,12,2
1,1,14,28,12,12,380166,1,0,0,0,0,1,0,1,433,0,38,NA,5,1,8,2
1,1,15,28,12,12,380166,1,0,0,0,0,1,0,1,538,0,37,119,2,0,7,2
1,1,12,25,12,9,369567,0,0,0,0,0,1,0,1,627,0,35,108,6,1,7,2
1,1,8,31,12,11,496635,1,0,0,0,0,1,0,1,481,0,35,NA,1,1,17,2
1,1,12,26,6,11,380166,1,0,0,0,0,1,0,1,545,0,26,72,1,1,8,2
1,1,12,25,12,9,369567,1,0,0,0,0,1,0,1,576,0,34,86,1,1,7,2
1,1,16,25,14,12,90339,1,0,0,0,0,1,0,1,700,0,42,123,1,1,3,2
1,1,16,28,12,12,367772,1,0,0,0,0,1,0,1,788,0,38,103,1,1,6,2
1,1,17,27,12,12,367772,1,0,0,0,0,1,0,1,1012,0,42,101,1,1,4,2
1,1,12,24,12,10,357519,1,0,0,0,0,1,0,1,758,0,30,NA,1,1,6,2
1,1,14,29,12,16,480445,1,0,0,0,0,1,0,1,601,1,41,105,6,1,9,2
1,1,12,24,NA,12,357519,0,1,0,0,0,1,0,1,283,0,34,NA,6,1,6,2
1,1,12,24,12,12,397244,0,0,1,0,0,1,0,1,250,0,29,NA,6,1,6,2
1,1,12,26,10,12,367772,1,0,0,0,0,1,0,1,500,0,33,95,1,1,8,2
1,1,11,31,8,6,480445,1,0,0,0,0,1,0,1,550,0,41,98,1,1,14,2
1,1,12,25,8,6,357519,1,0,0,0,0,1,0,1,1143,0,27,NA,1,1,7,2
1,1,18,31,8,8,480445,1,0,0,0,0,1,1,1,810,0,39,115,4,0,7,2
1,1,12,28,NA,9,104596,0,1,0,0,1,1,0,1,313,0,20,60,6,1,10,2
1,1,18,25,NA,4,369567,0,1,0,0,0,1,0,1,731,0,36,135,1,1,1,2
1,1,16,25,9,10,369567,1,0,0,0,0,1,0,1,625,1,35,132,1,1,3,2
1,1,14,24,16,12,369567,1,0,0,0,0,1,0,1,588,1,33,106,1,1,4,2
1,1,14,26,12,12,380166,1,0,0,0,0,1,0,1,375,1,28,113,1,1,6,2
1,1,16,29,14,11,496635,1,0,0,0,0,1,1,0,817,0,43,102,6,1,7,2
1,1,14,30,15,12,496635,1,0,0,0,0,1,0,1,865,0,32,91,1,1,10,2
1,1,15,28,12,12,380166,1,0,0,0,0,1,1,0,350,0,30,104,1,1,7,2
1,1,13,24,12,12,369567,1,0,0,0,0,1,1,1,202,0,22,NA,1,1,5,2
1,1,13,32,16,16,367470,0,0,1,0,0,1,1,1,505,0,43,97,1,1,13,2
1,1,17,30,12,13,480445,1,0,0,0,0,1,0,1,816,0,41,125,1,1,7,2
1,1,18,26,14,12,380166,1,0,0,0,0,1,0,1,625,0,41,123,6,1,2,2
1,1,18,32,16,16,367470,1,0,0,0,0,1,0,0,769,0,35,128,6,1,8,2
1,1,17,27,16,17,380166,1,0,0,0,0,1,0,1,500,1,38,133,6,1,4,2
1,1,17,27,12,8,380166,1,0,0,0,0,1,0,0,619,1,32,114,1,1,4,2
1,1,12,30,NA,8,480445,0,1,0,0,0,1,0,1,650,0,40,103,1,1,12,2
0,1,18,28,10,12,380166,1,0,0,0,0,1,0,1,769,0,36,130,1,1,4,2
0,1,12,26,10,12,380166,1,0,0,0,0,1,0,1,512,0,33,97,1,1,8,2
0,1,18,31,12,13,496635,1,0,0,0,0,1,0,1,625,0,46,132,1,1,7,2
0,1,14,31,12,12,496635,1,0,0,0,0,1,0,1,1111,0,41,98,1,1,11,2
0,1,13,28,12,12,380166,1,0,0,0,0,1,0,1,721,0,41,108,1,1,9,2
0,1,14,32,13,12,367470,1,0,0,0,0,1,0,1,1154,0,44,107,1,1,12,2
0,1,18,34,18,18,367470,1,0,0,0,0,0,0,1,827,0,40,129,6,1,10,2
0,1,16,34,14,12,367470,1,0,0,0,0,1,0,1,923,0,56,NA,1,1,12,2
0,1,17,28,14,17,380166,1,0,0,0,0,1,0,0,1076,0,42,132,1,1,5,2
0,1,12,33,NA,8,367470,1,0,0,0,0,1,0,1,625,0,37,101,1,1,15,2
0,1,13,27,NA,8,380166,0,1,0,0,0,1,0,1,460,0,24,92,1,1,8,2
0,1,14,24,8,12,102031,1,0,0,0,1,1,0,1,900,0,39,108,6,1,4,2
0,1,18,29,8,9,496635,1,0,0,0,0,1,0,0,682,0,NA,132,1,1,5,2
0,1,12,24,10,12,369567,1,0,0,0,0,1,0,1,411,0,20,NA,1,1,6,2
0,1,13,27,12,15,380166,1,0,0,0,0,1,0,1,625,0,35,106,1,0,8,2
0,1,18,32,12,12,355491,1,0,0,0,0,1,0,1,1005,0,46,123,1,1,8,2
0,1,11,24,9,11,357519,1,0,0,0,0,1,0,1,725,0,24,109,1,1,7,2
0,1,15,27,8,11,367772,1,0,0,0,0,1,0,1,750,0,35,103,1,1,6,2
0,1,14,29,NA,8,533828,1,0,0,0,0,1,0,0,529,0,33,108,1,0,9,2
0,1,17,29,8,12,496635,1,0,0,0,0,1,0,1,972,0,47,122,1,1,6,2
0,1,12,26,12,12,380166,0,0,1,0,0,0,0,1,472,0,36,109,1,1,8,2
0,1,12,24,12,12,369567,0,0,1,0,0,1,0,1,325,0,35,102,6,1,6,2
0,1,12,34,NA,12,367470,1,0,0,0,0,1,0,1,875,0,44,109,1,1,16,2
0,1,13,34,9,10,367470,1,0,0,0,0,1,0,1,625,0,40,100,1,1,15,2
0,1,12,26,8,10,380166,1,0,0,0,0,1,0,1,337,0,29,93,1,1,8,2
0,1,16,27,5,5,380166,1,0,0,0,0,1,0,1,481,0,37,115,1,1,5,2
0,1,9,29,5,NA,551817,1,0,0,0,0,1,0,1,650,0,NA,NA,6,0,14,2
0,1,16,25,5,4,369567,1,0,0,0,0,1,0,1,383,0,39,NA,6,0,3,2
0,1,18,30,15,14,533828,1,0,0,0,0,1,0,1,962,0,50,125,1,1,6,2
0,1,16,29,13,12,496635,1,0,0,0,0,0,0,1,615,0,31,106,6,1,7,2
0,1,14,28,12,12,380166,1,0,0,0,0,1,0,1,702,0,43,113,1,1,8,2
0,1,14,31,NA,12,551817,1,0,0,0,0,1,0,1,635,0,41,122,6,1,11,2
0,1,12,28,10,11,422407,1,0,0,0,0,1,0,1,200,0,35,NA,4,0,10,2
0,1,12,27,10,10,380166,1,0,0,0,0,1,0,1,817,0,43,116,1,1,9,2
0,1,14,26,NA,12,380166,0,1,0,0,0,1,0,1,577,0,39,116,1,1,6,2
0,1,17,26,12,12,760332,1,0,0,0,0,1,0,1,466,0,34,105,1,1,3,2
0,1,16,29,NA,12,993271,0,1,0,0,0,1,0,1,924,0,39,NA,1,1,7,2
0,1,16,31,12,12,993271,1,0,0,0,0,1,1,0,793,1,38,112,1,0,9,2
0,1,14,28,12,12,760332,1,0,0,0,0,1,0,1,635,0,32,113,1,1,8,2
0,1,12,25,NA,NA,369567,0,0,0,0,0,1,0,1,570,0,22,NA,6,1,7,2
0,1,16,29,12,12,496635,1,0,0,0,0,1,0,1,705,0,37,94,1,1,7,2
0,1,14,28,12,9,380166,1,0,0,0,0,1,0,1,635,0,40,103,1,1,8,2
0,1,12,30,NA,12,496635,0,0,1,0,0,1,0,1,694,0,36,102,1,0,12,2
0,1,13,34,10,12,367470,1,0,0,0,0,1,0,1,615,0,47,109,1,1,15,2
0,1,16,26,15,10,380166,1,0,0,0,0,1,0,1,462,0,34,130,6,1,4,2
0,1,12,34,12,12,408301,1,0,0,0,0,1,0,1,865,0,45,105,1,1,16,2
0,1,18,33,12,12,367470,1,0,0,0,0,1,1,0,737,0,46,134,1,1,9,2
0,1,12,25,8,14,357519,1,0,0,0,0,1,0,1,1400,0,39,NA,1,1,7,2
0,1,12,31,NA,7,496635,0,1,0,0,0,1,0,1,808,0,43,105,1,0,13,2
0,1,16,26,11,12,380166,1,0,0,0,0,1,0,1,654,0,36,104,1,0,4,2
0,1,12,25,NA,12,369567,0,1,0,0,0,1,0,1,300,0,35,112,1,1,7,2
0,1,16,30,8,10,496635,1,0,0,0,0,1,0,1,577,0,37,115,4,1,8,2
0,1,16,24,10,12,410630,1,0,0,0,0,1,0,1,265,0,44,NA,6,1,2,2
0,1,18,31,8,8,496635,1,0,0,0,0,0,0,1,594,0,33,117,1,1,7,2
0,1,17,26,12,8,380166,1,0,0,0,0,1,0,1,325,0,29,114,1,1,3,2
0,1,16,24,12,8,369567,1,0,0,0,0,0,0,1,385,1,37,118,6,1,2,2
0,1,18,25,12,12,369567,1,0,0,0,0,1,0,1,1000,0,32,107,1,1,1,2
0,1,18,28,8,11,367772,1,0,0,0,0,1,0,1,465,0,49,120,6,1,4,2
0,1,16,28,16,18,367772,1,0,0,0,0,1,0,0,440,0,43,131,6,1,6,2
0,1,16,27,16,17,367772,1,0,0,0,0,1,0,0,625,0,40,124,6,1,5,2
0,1,17,27,11,12,92929,1,0,0,0,0,1,0,1,285,0,36,121,1,1,4,2
0,1,14,27,10,12,92929,1,0,0,0,0,1,0,1,650,0,35,110,1,1,7,2
0,1,13,25,10,12,90339,1,0,0,0,0,1,0,1,808,0,34,103,1,1,6,2
0,1,12,24,10,12,90339,1,0,0,0,0,1,0,1,500,0,26,NA,1,1,6,2
0,1,16,26,14,12,367772,1,0,0,0,0,1,0,1,831,0,45,115,1,1,4,2
0,1,12,31,8,6,480445,1,0,0,0,0,1,0,1,500,0,33,96,1,1,13,2
0,1,17,32,12,12,355491,1,0,0,0,0,1,0,1,693,0,48,123,1,0,9,2
0,1,12,27,12,10,367772,1,0,0,0,0,1,0,1,1100,0,37,101,1,1,9,2
0,1,12,25,8,12,357519,1,0,0,0,0,1,0,1,763,0,34,98,1,1,7,2
1,1,12,27,8,9,422407,1,0,0,0,0,1,0,1,795,0,28,NA,1,1,9,1
1,1,16,25,7,8,369567,1,0,0,0,0,1,0,1,333,0,31,108,6,1,3,1
1,1,18,30,16,12,551817,1,0,0,0,0,1,0,1,409,0,39,138,1,1,6,1
1,1,16,27,NA,12,380166,1,0,0,0,0,1,0,1,865,0,37,121,1,1,5,1
1,1,12,31,8,12,496635,1,0,0,0,0,1,0,1,888,0,34,96,1,1,13,1
1,1,12,34,NA,12,367470,1,0,0,0,0,1,0,1,673,0,47,89,1,1,16,1
1,1,12,33,7,NA,367470,1,0,0,0,0,0,0,1,700,0,43,109,6,1,15,1
1,1,18,33,16,16,367470,1,0,0,0,0,1,1,1,250,0,44,133,6,1,9,1
1,1,11,27,11,9,380166,1,0,0,0,0,1,0,1,625,0,32,84,6,1,10,1
1,1,13,31,8,12,496635,1,0,0,0,0,1,0,1,417,0,37,NA,4,1,12,1
1,1,13,28,8,12,380166,1,0,0,0,0,1,0,1,576,0,51,98,1,1,9,1
1,1,12,26,12,9,104596,1,0,0,0,1,1,0,1,613,0,27,85,6,1,8,1
1,1,12,31,11,9,496635,1,0,0,0,0,1,0,1,700,0,NA,105,1,1,13,1
1,1,12,24,11,9,369567,1,0,0,0,0,1,0,1,450,0,20,93,6,1,6,1
1,1,16,28,NA,12,380166,0,1,0,0,0,1,0,1,500,0,38,115,1,1,6,1
1,1,12,25,12,NA,369567,1,0,0,0,0,0,0,1,514,0,36,NA,1,1,7,1
1,1,16,25,12,12,369567,1,0,0,0,0,1,0,1,250,0,45,146,6,1,3,1
1,1,12,24,12,12,369567,1,0,0,0,0,0,0,1,315,0,32,NA,6,1,6,1
1,1,12,29,9,12,496635,1,0,0,0,0,1,0,1,375,0,32,82,1,1,11,1
1,1,15,34,NA,12,408301,0,1,0,0,0,0,0,1,457,0,45,120,1,1,13,1
1,1,12,27,NA,NA,104596,0,0,0,0,1,1,0,1,275,0,26,NA,6,0,9,1
1,1,12,28,NA,12,92929,0,1,0,0,0,1,0,1,951,0,38,122,1,1,10,1
1,1,16,32,8,9,367470,1,0,0,0,0,1,0,0,1115,0,49,NA,1,1,10,1
1,1,16,25,12,14,369567,1,0,0,0,0,0,0,1,289,1,31,128,6,1,3,1
1,1,16,25,NA,NA,369567,0,0,0,0,0,1,0,1,500,0,34,110,1,1,3,1
1,1,18,32,16,12,367470,1,0,0,0,0,1,0,1,726,0,46,114,1,1,8,1
1,1,18,29,18,12,480445,1,0,0,0,0,1,0,1,1265,0,48,117,1,1,5,1
1,1,17,26,18,18,104596,1,0,0,0,1,1,0,1,613,0,40,109,6,1,3,1
0,1,12,28,10,11,380166,1,0,0,0,0,1,0,1,545,0,35,91,6,0,10,1
0,1,13,28,12,8,380166,1,0,0,0,0,1,0,1,278,1,32,107,1,1,9,1
0,1,18,34,16,12,367470,1,0,0,0,0,1,0,1,1442,0,55,114,1,1,10,1
0,1,16,27,16,12,380166,1,0,0,0,0,1,0,1,995,0,40,126,1,1,5,1
0,1,12,29,11,11,496635,1,0,0,0,0,1,0,1,700,0,45,82,1,1,11,1
0,1,16,28,9,12,380166,1,0,0,0,0,1,0,1,577,0,45,119,1,1,6,1
0,1,16,31,6,12,496635,1,0,0,0,0,1,0,1,858,0,37,104,1,1,9,1
0,1,12,28,12,NA,380166,0,0,0,0,0,1,0,1,686,0,35,97,1,1,10,1
0,1,15,31,11,NA,496635,1,0,0,0,0,1,0,1,832,0,49,115,1,1,10,1
1,1,13,33,13,8,367470,1,0,0,0,0,1,0,1,633,1,45,83,1,1,14,1
1,1,12,32,12,12,367470,1,0,0,0,0,1,0,1,689,0,45,97,1,1,14,1
1,1,14,30,8,8,496635,1,0,0,0,0,1,0,1,769,0,43,119,1,1,10,1
1,1,15,27,12,14,367772,1,0,0,0,0,1,0,1,385,0,27,105,6,1,6,1
1,1,12,24,12,14,357519,1,0,0,0,0,1,0,1,450,1,29,NA,6,1,6,1
1,1,12,27,10,12,380166,1,0,0,0,0,1,0,1,615,0,41,114,1,1,9,1
1,1,12,34,NA,8,408301,0,1,0,0,0,1,0,1,682,0,47,93,1,1,16,1
1,1,10,32,NA,NA,367470,0,1,0,0,0,1,0,1,670,0,28,73,5,1,16,1
1,1,11,33,8,8,367470,1,0,0,0,0,1,0,1,800,0,48,96,1,1,16,1
1,1,14,34,8,8,367470,1,0,0,0,0,1,0,1,505,0,48,NA,1,1,14,1
1,1,18,30,12,16,496635,1,0,0,0,0,1,0,1,1026,0,48,117,5,1,6,1
1,1,15,25,16,12,357519,1,0,0,0,0,1,0,1,769,0,30,113,6,1,4,1
1,1,10,32,10,14,408301,1,0,0,0,0,1,1,1,290,0,38,106,1,1,16,1
1,1,13,28,NA,8,422407,0,1,0,0,0,1,0,1,529,0,37,104,1,1,9,1
1,1,16,29,12,12,496635,1,0,0,0,0,1,0,0,1154,0,NA,NA,1,1,7,1
1,1,10,29,12,NA,496635,0,0,0,0,0,1,0,1,549,0,39,80,1,1,13,1
1,1,12,26,8,12,380166,1,0,0,0,0,1,0,1,475,0,30,104,1,1,8,1
1,1,12,26,12,12,380166,1,0,0,0,0,1,0,1,450,0,36,102,1,1,8,1
1,1,17,27,10,NA,380166,0,0,0,0,0,1,0,1,875,0,43,114,6,1,4,1
1,1,15,25,10,NA,369567,0,0,0,0,0,1,0,1,200,1,33,93,6,1,4,1
1,1,13,26,16,16,380166,1,0,0,0,0,0,0,1,300,0,36,122,6,1,7,1
1,1,16,25,16,NA,357519,1,0,0,0,0,0,0,1,462,0,28,117,6,1,3,1
1,1,12,30,13,12,496635,1,0,0,0,0,1,0,1,385,0,38,96,1,1,12,1
1,1,15,32,16,16,355491,1,0,0,0,0,1,0,1,1282,0,51,95,1,1,11,1
1,1,16,25,12,12,357519,1,0,0,0,0,1,0,1,588,0,29,117,6,1,3,1
1,1,12,27,17,16,408636,1,0,0,0,0,1,0,1,600,0,24,105,6,1,9,1
1,1,16,30,6,NA,121400,0,0,0,0,0,1,0,0,500,1,43,NA,1,0,8,1
1,1,12,33,8,8,149854,1,0,0,0,1,1,0,1,440,0,18,94,1,0,15,1
0,1,18,26,13,16,380166,1,0,0,0,0,1,1,1,467,1,43,139,6,1,2,2
0,1,17,29,14,12,496635,1,0,0,0,0,1,0,1,929,0,41,91,1,1,6,2
0,1,16,27,14,12,380166,1,0,0,0,0,1,0,1,556,0,37,96,1,1,5,2
0,1,13,24,14,12,369567,1,0,0,0,0,1,0,1,438,0,32,114,6,0,5,2
0,1,12,29,9,10,648053,0,0,1,0,1,1,0,1,600,0,31,54,1,0,11,2
0,1,12,26,9,10,427892,1,0,0,0,1,1,0,1,575,0,37,69,1,0,8,2
0,1,12,26,9,10,427892,1,0,0,0,1,1,0,1,389,0,17,67,6,0,8,2
0,1,12,34,12,NA,408207,0,0,1,0,0,0,0,0,795,0,37,110,1,0,16,2
0,1,18,27,18,16,422310,1,0,0,0,0,1,0,1,471,0,41,125,1,1,3,2
0,1,17,26,18,16,422310,1,0,0,0,0,1,0,1,202,1,38,124,6,1,3,2
0,1,17,24,18,16,410536,1,0,0,0,0,1,0,1,200,1,35,NA,6,1,1,2
0,1,17,24,15,17,410536,0,0,1,0,0,1,0,1,350,0,35,113,6,1,1,2
0,1,14,24,10,12,410536,1,0,0,0,0,0,0,1,375,0,40,100,6,1,4,2
0,1,16,25,12,9,410536,1,0,0,0,0,1,0,1,481,0,37,97,1,1,3,2
0,1,18,31,8,8,551690,1,0,0,0,0,1,0,1,962,0,44,125,6,1,7,2
0,1,15,27,12,12,422310,0,0,1,0,0,1,0,1,423,0,42,106,6,1,6,2
0,1,15,27,11,12,422310,1,0,0,0,0,1,0,1,500,0,28,101,6,1,6,2
0,1,9,30,NA,11,551690,1,0,0,0,0,1,0,1,450,0,37,NA,1,1,15,2
0,1,8,28,8,9,327808,1,0,0,0,0,1,0,1,476,0,27,NA,1,0,14,2
0,1,12,24,8,9,318670,1,0,0,0,0,1,0,1,136,0,21,NA,6,0,6,2
0,1,12,32,10,9,345723,1,0,0,0,0,1,0,0,575,0,39,91,1,1,14,2
0,1,12,33,10,8,345723,0,0,0,0,0,1,0,0,577,0,28,86,1,1,15,2
0,1,12,31,8,9,475820,1,0,0,0,0,1,0,1,310,0,32,110,1,1,13,2
0,1,9,30,12,12,428238,1,0,0,0,0,1,0,1,700,0,38,NA,1,0,15,2
0,1,14,32,NA,12,453563,1,0,0,0,0,1,0,0,1322,0,47,92,1,1,12,1
0,1,10,34,12,9,408207,1,0,0,0,0,1,0,0,551,0,41,85,1,0,18,1
0,1,17,30,8,8,551690,1,0,0,0,0,1,0,1,881,0,36,120,1,1,7,1
0,1,12,25,7,12,410536,1,0,0,0,0,1,0,1,760,0,27,NA,1,1,7,1
0,1,12,32,8,11,453563,1,0,0,0,0,1,0,1,708,0,52,NA,1,1,14,1
0,1,12,26,8,8,422310,1,0,0,0,0,1,0,1,425,0,24,NA,1,1,8,1
0,1,12,26,NA,9,422310,0,1,0,0,0,1,0,1,427,0,35,107,6,1,8,1
0,1,16,24,NA,9,410536,0,1,0,0,0,1,0,1,576,0,43,116,6,1,2,1
0,1,9,32,NA,4,453563,1,0,0,0,0,1,0,1,400,0,34,NA,4,1,17,1
0,1,12,31,8,5,551690,1,0,0,0,0,0,0,1,500,0,30,NA,1,0,13,1
0,1,12,28,8,5,422310,1,0,0,0,0,0,0,1,531,0,29,NA,1,0,10,1
0,1,16,28,12,12,422310,1,0,0,0,0,1,0,0,673,1,43,121,1,1,6,1
0,1,16,27,12,12,422310,1,0,0,0,0,1,1,0,577,0,41,112,6,1,5,1
0,1,16,24,16,12,410536,1,0,0,0,0,1,0,1,325,0,39,NA,6,1,2,1
0,1,11,29,7,11,428238,1,0,0,0,0,0,0,0,500,0,40,NA,1,1,12,1
0,1,12,25,7,11,318670,1,0,0,0,0,0,0,0,770,0,43,100,1,1,7,1
0,1,12,26,7,12,327808,1,0,0,0,0,1,0,0,500,0,37,112,1,0,8,1
0,1,16,28,14,12,327808,1,0,0,0,0,1,0,1,391,0,41,108,1,1,6,1
0,1,12,34,12,10,352069,1,0,0,0,0,1,0,1,810,0,42,90,1,1,16,1
1,1,9,34,12,NA,166467,1,0,0,0,1,0,0,0,543,0,39,86,1,1,19,2
1,1,9,34,12,12,196733,1,0,0,0,1,0,0,0,593,0,37,NA,5,1,19,2
1,1,17,25,12,12,100353,1,0,0,0,0,1,0,0,864,0,40,127,6,1,2,2
1,1,10,28,NA,8,116191,1,0,0,0,1,0,0,0,700,0,32,86,1,1,12,2
1,1,12,25,12,12,410536,1,0,0,0,0,0,0,0,510,0,27,113,1,1,7,2
1,1,13,34,9,12,316862,1,0,0,0,0,1,0,1,615,0,51,111,4,1,15,2
1,1,14,29,9,8,428238,1,0,0,0,0,1,0,0,761,0,41,113,1,0,9,2
1,1,10,31,NA,NA,551817,1,0,0,0,0,1,0,1,493,0,32,81,1,1,15,2
1,1,16,24,12,12,369567,1,0,0,0,0,1,0,1,445,0,34,111,1,1,2,2
1,1,12,25,8,9,369567,1,0,0,0,0,1,0,1,425,0,20,NA,1,1,7,2
1,1,16,24,12,12,357519,1,0,0,0,0,1,0,1,750,1,24,112,6,1,2,2
1,1,16,24,12,12,357519,1,0,0,0,0,1,0,1,700,0,30,114,1,1,2,2
1,1,12,24,9,9,357519,1,0,0,0,0,1,0,1,438,0,33,NA,1,1,6,2
1,1,12,29,12,12,480445,1,0,0,0,0,1,0,1,608,0,30,111,1,1,11,2
